D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_SMONTH,D_TRA1_SDAY,D_TRA1_EMONTH,D_TRA1_EDAY,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A1_1,A4_1,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A7B_1,A7B_2,A7B_3,A7B_4,A7B_5,A7B_6,A7B_7,A9,NA9,BSEX,BAGE,SAGE,BEDU,BFAM,total
23010.0,93.0,574.0,1585.0,574.0,1595.0,10.0,18082000.0,266.0,7079760.0,157,417,70.0,120.0,6.0,8.0,15.0,252.0,14.0,80.0,0.0,0.0,11.0,0.0,0.0,0.0,90.0,48.0,51.0,0.0,19.0,0.0,42.0,294,42.0,0.0,141.0,0.0,15.0,0.0,0.0,17943597,6357700,137,314,3631,331,242,25
38100.0,93.0,599.0,1393.0,600.0,1383.0,21.0,16693500.0,257.0,6172925.0,132,458,74.0,38.0,24.0,36.0,30.0,402.0,7.0,8.0,0.0,10.0,11.0,0.0,182.0,0.0,15.0,48.0,34.0,18.0,38.0,0.0,0.0,315,39.0,4.0,132.0,0.0,35.0,0.0,0.0,16210516,5452919,145,343,3897,333,242,20
31240.0,84.0,571.0,1228.0,571.0,1253.0,25.0,14552200.0,235.0,5867916.0,124,411,67.0,86.0,12.0,0.0,5.0,324.0,42.0,24.0,0.0,0.0,0.0,24.0,26.0,0.0,15.0,0.0,0.0,18.0,0.0,0.0,21.0,280,50.0,8.0,81.0,4.0,10.0,0.0,0.0,15143500,5128684,131,315,3566,301,215,17
31130.0,78.0,521.0,1048.0,521.0,1053.0,5.0,10077000.0,219.0,4004333.0,104,400,67.0,100.0,9.0,8.0,20.0,246.0,0.0,16.0,9.0,0.0,11.0,48.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,21.0,241,43.0,4.0,99.0,8.0,0.0,0.0,0.0,10131311,3822004,122,306,3470,277,206,17
21140.0,77.0,493.0,1110.0,493.0,1148.0,38.0,20775000.0,170.0,9561833.0,206,385,67.0,94.0,3.0,8.0,0.0,354.0,0.0,48.0,18.0,0.0,11.0,0.0,0.0,0.0,105.0,112.0,153.0,54.0,0.0,0.0,0.0,222,15.0,4.0,183.0,0.0,5.0,0.0,0.0,21719005,9529740,108,210,2486,289,190,15
31190.0,77.0,509.0,1075.0,509.0,1084.0,9.0,15831000.0,219.0,5905584.0,145,442,38.0,48.0,18.0,8.0,245.0,150.0,14.0,24.0,27.0,0.0,44.0,48.0,0.0,0.0,30.0,0.0,68.0,72.0,0.0,20.0,0.0,271,42.0,4.0,105.0,0.0,0.0,0.0,0.0,16583409,6060009,115,232,2689,286,210,17
36330.0,76.0,516.0,1089.0,516.0,1120.0,31.0,15054167.0,178.0,7328250.0,90,356,63.0,72.0,12.0,20.0,5.0,282.0,14.0,8.0,9.0,0.0,33.0,0.0,26.0,0.0,45.0,48.0,34.0,180.0,0.0,0.0,0.0,245,42.0,2.0,87.0,12.0,5.0,0.0,0.0,16942208,6490836,114,300,3383,263,185,33
32410.0,76.0,536.0,1189.0,537.0,1241.0,83.0,36675000.0,237.0,13423332.0,113,413,63.0,100.0,33.0,28.0,15.0,294.0,7.0,32.0,9.0,0.0,22.0,0.0,13.0,0.0,120.0,0.0,85.0,72.0,0.0,0.0,21.0,268,44.0,2.0,90.0,8.0,0.0,0.0,0.0,36125003,12967148,122,282,3203,272,201,30
34370.0,74.0,416.0,1020.0,416.0,1045.0,25.0,16483200.0,201.0,6187533.0,84,359,61.0,88.0,15.0,56.0,20.0,246.0,112.0,16.0,18.0,0.0,11.0,12.0,91.0,0.0,0.0,16.0,0.0,18.0,0.0,0.0,0.0,247,48.0,4.0,63.0,4.0,10.0,0.0,0.0,16383605,5835585,105,304,3385,260,194,30
36010.0,74.0,526.0,1165.0,526.0,1188.0,23.0,16525000.0,152.0,7574583.0,91,432,65.0,108.0,21.0,12.0,20.0,300.0,7.0,24.0,36.0,0.0,22.0,12.0,0.0,0.0,165.0,16.0,17.0,90.0,0.0,0.0,0.0,230,42.0,4.0,84.0,8.0,20.0,0.0,0.0,19962910,7520695,110,305,3380,250,179,34
